"Mturk_id","Condition","decay_value","SyncRate_Value"
"A2CJYS92WX7HN6","1-Sided-DT_FI",0.23,0.66
"A2CJYS92WX7HN6","1-Sided-psse",0.77,0.62
"A2CJYS92WX7HN6","2-Sided-pesse_FI",0.1,0.68
"A2CSENNI43N272","1-Sided-CogSig",2.63,0.82
"A2D4RUOUUAE91I","2-Sided-LR",1.41,0.82
"A2DHKTD1GSBXR2","1-Sided-psse",1.15,0.76
"A2DVV59R1CQU6T","2-Sided-NN",1.05,0.7
"A2E3TO92MCQ9XU","1-Sided-psse_FI",2.2,0.9
"A2E5PZUD6W4OA1","NS",0.18,1
"A2EA2PN47ZWILX","1-Sided-psse_FI",2.98,0.8
"A2EED3HLTA96CP","2-Sided-LR",0.61,0.76
"A2EHH2ZFIRF1BF","2-Sided-NN",2.03,0.78
"A2EJ7U3TZAKROG","1-Sided-CogSig",0.53,0.72
"A2EOOF9D135HQ1","2-SidedDT",2.25,0.72
"A2EPBSY0VPI38S","2-SidedDT",2.84,0.74
"A2EZNZ6X58RTNR","1-Sided-psse",2.81,0.6
"A2F7YQ7VUKHDZV","1-Sided-psse_FI",2.25,0.7
"A2F93SIUUV5HQH","1-Sided-CogSig",0.25,0.7
"A2F93SIUUV5HQH","2-Sided-LR",0.22,0.6
"A2FARB7LA24AU8","1-Sided-CogSig",1.01,0.88
"A2FARB7LA24AU8","1-Sided-DT_FI",0.84,0.82
"A2FARB7LA24AU8","2-Sided-pesse_FI",2.93,0.92
"A2FE0I7W269C1C","NS-ER",1.83,0.9
"A2FUPODRRCESB","2-Sided-pesse_FI",0.17,0.88
"A2FVW2SCF5WKKH","1-Sided-ER_FI",2.93,0.82
"A2FX289DJSA2A6","2-Sided-NN",1.64,0.88
"A2FYQIZWV2UJHS","NS",0.67,0.94
"A2G0HRT8HS9HRZ","NS",1.64,0.76
"A2G7N0X0PNX0EE","NS-ER",2.89,0.7
"A2GG7HIO2OIXUR","1-Sided-psse_FI",2.46,0.8
"A2GK11SPBF73C6","1-Sided-ER_FI",1.51,0.8
"A2GOYSTIL3LOV1","1-Sided-ER_FI",2.6,0.72
"A2GV9WSNSPX53","1-Sided-psse",0.47,0.72
"A2GV9WSNSPX53","2-Sided-LR",1.37,0.8
"A2H91DERNK3CAL","NS-ER",1.41,0.78
"A2HA52MJN7CTLM","1-Sided-DT_FI",0.42,0.78
"A2HGZOXZ36XKRI","1-Sided-psse",1.08,0.52
"A2HHKBW8HQWI66","2-Sided-pesse_FI",0.23,0.84
